product_name,sales,discounted_sales,profit,quantity
Canon imageCLASS 2200 Advanced Copier,61599.824,55999.84,25199.928,20
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384000000002,23386.216,7753.039,31
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,11319.24,-1811.0784,6
HON 5400 Series Task Chairs for Big and Tall,21870.576,17790.8724,5.684341886080802e-14,39
GBC DocuBind TL300 Electric Binding System,19823.479,15365.4387,2233.5051000000003,37
GBC Ibimaster 500 Manual ProClick Binding System,19024.5,13773.738,760.9799999999996,48
Hewlett Packard LaserJet 3310 Copier,18839.686,16103.7316,6983.8836,38
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,17062.4025,4094.9766,12
GBC DocuBind P400 Electric Binding System,17965.068,12684.4268,-1878.1662000000003,27
High Speed Automatic Electric Letter Opener,17030.311999999998,16244.2976,-262.00480000000005,11
Lexmark MX611dhe Monochrome Laser Printer,16829.901,10250.9397,-4589.973,18
Martin Yale Chadless Opener Electric Letter Opener,16656.2,15323.704,-1299.1836,22
Ibico EPK-21 Electric Binding System,15875.916000000001,13456.7288,3345.2823,13
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,12232.054907999998,-669.5448000000001,24
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,14299.89,3717.9714000000004,11
Samsung Galaxy Mega 6.3,13943.668,11994.914400000001,1822.7566,39
Apple iPhone 5,12996.600000000002,11177.076000000001,1611.5784,24
Bretford Rectangular Conference Table Tops,12995.2915,10124.479275000002,-327.2331,46
Global Troy Executive Leather Low-Back Tilter,12975.382,10535.609400000001,951.8620000000001,32
Canon PC1060 Personal Laser Copier,11619.833999999999,10275.853200000001,4570.9347,19
SAFCO Arco Folding Chair,11572.78,9238.89,1179.374,53
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44,10727.192000000001,3247.02,40
Cubify CubeX 3D Printer Double Head Print,11099.963,5729.9809000000005,-8879.9704,9
DMI Eclipse Executive Suite Bookcases,11046.609,9028.91205,90.17640000000002,27
Tennsco 6- and 18-Compartment Lockers,10925.003999999999,10543.1592,1575.1098,43
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,10241.648,3085.0325000000003,35
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.528,9280.9992,1927.442,51
Logitech P710e Mobile Speakerphone,10196.604,9908.2152,1645.3611,41
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.640000000001,6876.2304,-2876.1156,27
Tennsco Double-Tier Lockers,9630.856,8874.7888,429.7882,47
Bush Advantage Collection Racetrack Conference Table,9544.725,6999.465,-1934.3976,33
Plantronics Savi W720 Multi-Device Wireless Headset System,9367.289999999999,8759.682,3696.2819999999997,24
Bady BDG101FRU Card Printer,9279.884,7935.9008,1327.9834,14
Tennsco Single-Tier Lockers,9158.296,8077.3168000000005,-825.7479999999999,28
GuestStacker Chair with Chrome Finish Legs,9070.944,7152.662400000001,773.2608,31
Canon Imageclass D680 Copier / Fax,8959.872,7279.896000000001,2799.96,16
Hewlett Packard 610 Color Digital Copier / Printer,8899.822,7739.8452,3124.9375,21
Wilson Electronics DB Pro Signal Booster,8878.4,6988.160000000001,515.52,32
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5,7932.148000000001,1305.6456,28
Global Deluxe High-Back Manager's Chair,8665.194,7667.123799999999,1558.5910000000001,35
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8430.997,7243.6559,1388.6348,34
Chromcraft Round Conference Tables,8209.059,6567.2472,-189.9761,61
"Hot File 7-Pocket, Floor Stand",8138.232,7652.7936,2016.711,49
Fellowes PB300 Plastic Comb Binding Machine,8070.192,6890.7024,2518.0551,27
Cubify CubeX 3D Printer Triple Head Print,7999.98,3999.99,-3839.9904,4
Ibico Ibimaster 300 Manual Binding System,7985.383,6774.695900000001,2318.337,28
Global Commerce Series High-Back Swivel/Tilt Chairs,7979.4400000000005,6936.4132,926.1850000000001,33
Okidata MB760 Printer,7834.4,6267.52,881.37,7
Adjustable Depth Letter/Legal Cart,7730.196,7381.7928,1932.549,45
Ativa V4110MDD Micro-Cut Shredder,7699.89,7699.89,3772.9461,11
Mitel MiVoice 5330e IP Phone,7699.72,6489.764,780.9716,34
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.374,6817.017,832.9932000000001,24
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.7122,6476.140406,780.3302,35
Tennsco 16-Compartment Lockers with Coat Rack,7515.523999999999,6789.8872,1114.3708,13
Hon 94000 Series Round Tables,7404.5,6409.3352,-681.2139999999999,30
Logitech diNovo Edge Keyboard,7399.704,7119.7152,1432.4427,31
Bretford CR4500 Series Slim Rectangular Table,7242.768,5426.85285,-532.7613,29
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),7139.796,5403.845600000001,83.99760000000003,28
Zebra ZM400 Thermal Label Printer,6965.700000000001,6965.700000000001,3343.536,6
"Bevis Oval Conference Table, Walnut",6942.068,5464.9212,-856.0144,36
Hon GuestStacker Chair,6936.102,6310.4928,1233.0848,34
Hoover Upright Vacuum With Dirt Cup,6832.908,6230.6856,460.35269999999986,31
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",6819.312,6685.1616,181.66199999999998,25
GBC DocuBind 300 Electric Binding Machine,6785.142,5065.187400000001,494.4212000000001,23
Bretford CR8500 Series Meeting Room Furniture,6776.562000000001,5705.9454000000005,461.127,21
Cisco Unified IP Phone 7945G VoIP phone,6751.602,5196.6876,102.29699999999998,26
Hon Every-Day Series Multi-Task Chairs,6748.482,5742.789,281.96999999999997,43
ClearOne CHATAttach 160 - speaker phone,6695.892,5703.908,1053.983,13
Standard Rollaway File with Lock,6594.954,6104.8372,1261.3300000000002,40
Hon Multipurpose Stacking Arm Chairs,6584.64,5705.244,814.416,36
"Dual Level, Single-Width Filing Carts",6574.544,6500.1152,1640.5348,43
Balt Solid Wood Round Tables,6518.754,5340.0204,-1201.0581,19
Hon Pagoda Stacking Chairs,6483.796,6021.5848000000005,1540.704,22
"Global Leather and Oak Executive Chair, Black",6410.874,5360.4538,854.7832000000001,26
Sharp AL-1530CS Digital Copier,6399.872,4879.902400000001,2064.9587,17
Polycom VVX 310 VoIP phone,6227.654,5507.694,899.95,40
Samsung Galaxy S4,6134.701999999999,4732.484399999999,438.193,13
Samsung Galaxy S4 Mini,6109.87,5357.886,1104.4765,15
Global Comet Stacking Arm Chair,6084.144,5281.375,697.1415,17
Global Ergonomic Managers Chair,6008.536,5212.224,785.4532,39
Canon PC1080F Personal Copier,5999.9,5519.908,1973.9670999999998,11
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5989.204,4614.5008,267.3034,39
Hon 5100 Series Wood Tables,5965.09,5042.6834,-238.60360000000003,26
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",5906.52,5906.52,1653.8256000000001,18
Hon 4070 Series Pagoda Round Back Stacking Chairs,5906.032,5270.4916,1052.8144,21
Global Leather Executive Chair,5861.532999999999,4692.7363000000005,701.98,21
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5801.816,4972.5512,-66.82720000000002,23
Zebra GX420t Direct Thermal/Thermal Transfer Printer,5787.355,4550.2415,509.712,14
Iceberg Mobile Mega Data/Printer Cart ,5751.774,5636.2572,1388.6082,49
Safco Contoured Stacking Chairs,5697.76,5075.536,870.16,27
Canon PC940 Copier,5669.874,4949.89,2092.4535,15
Bretford Just In Time Height-Adjustable Multi-Task Work Tables,5634.9,4654.01,-964.194,17
Logitech Z-906 Speaker sys - home theater - 5.1-CH,5609.83,5609.83,2243.932,17
Deluxe Rollaway Locking File with Drawer,5572.792,5373.1696,1380.7215999999999,14
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.885,3999.57273,15.049,26
"Global High-Back Leather Tilter, Burgundy",5436.158,4543.2506,-474.7414,54
Hon Olson Stacker Chairs,5427.99,5081.1282,1292.1264,22
Ibico Hi-Tech Manual Binding System,5398.323,3937.4209,-304.99,34
Wilson SignalBoost 841262 DB PRO Amplifier Kit,5327.26,4751.34,1043.855,17
Hon Olson Stacker Stools,5294.456,4584.7736,833.5952,44
GE 30524EE4,5291.7300000000005,4539.1284000000005,838.8371999999999,32
Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,5282.424,4147.2648,-989.0496,24
"Lifetime Advantage Folding Chairs, 4/Carton",5212.112,4717.0704,972.6368,27
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.081,3935.82735,-126.44099999999996,27
